volatile_acidity,sulphates,citric_acid,alcohol,quality
0.6,0.57,0.18,9.3,6
0.95,0.56,0.03,9.6,5
0.68,1.08,0.02,9.2,4
0.53,0.56,0.04,10,6
0.6,0.49,0.26,9.4,5
0.59,0.49,0.26,9.4,5
0.63,0.62,0.48,9.5,5
0.64,0.52,0.1,10.2,5
0.55,0.48,0.03,9,4
0.63,0.55,0.07,10.4,6
0.705,1.59,0.24,9.5,5
0.885,0.33,0.03,9.1,4
0.42,0.61,0.17,9.2,6
0.42,0.61,0.17,9.2,6
0.62,0.57,0.05,11.5,6
0.38,0.47,0.21,9.5,5
0.5,0.78,0.04,9.5,5
0.38,0.47,0.21,9.5,5
0.52,0.61,0.42,10.5,6
0.805,0.56,0,9.6,5
0.61,0.59,0.14,9.5,5
0.61,0.59,0.14,9.5,5
0.61,1.02,0.49,9.3,5
0.73,0.52,0.02,9.3,5
0.61,0.58,0.2,9.3,5
0.62,0.58,0.21,9.3,6
0.31,0.53,0.57,9.7,5
0.39,0.55,0.48,9.2,5
0.705,0.49,0.1,9.7,5
0.5,0.55,0.33,9.5,5
0.49,0.55,0.32,9.5,5
0.5,0.62,0.35,9.4,5
0.37,0.62,0.25,9.8,6
0.63,0.61,0.12,9.5,5
0.55,0.55,0.21,9.7,5
0.55,0.55,0.21,9.7,5
0.59,0.54,0.33,9.4,5
0.58,0.59,0.3,10.2,5
0.3,0.97,0.6,10.1,6
0.835,0.85,0.08,13,7
1.09,0.43,0.06,11.4,4
0.32,0.82,0.47,10.3,7
0.37,1.03,0.48,9.3,5
0.5,0.79,0.11,9.5,5
0.42,0.55,0.35,9.2,5
0.43,0.56,0.36,9.2,6
0.3,0.77,0.74,10.8,7
0.3,0.77,0.74,10.8,7
0.57,0.53,0.31,9.3,5
0.44,0.67,0.28,9.4,5
0.3,0.88,0.58,10.5,7
0.53,0.86,0.6,12.4,6
0.725,0.56,0.24,10,6
0.44,0.67,0.64,10.2,6
0.57,0.43,0.26,10.1,5
0.735,0.71,0.08,9.8,6
0.49,0.76,0.49,10.5,5
0.625,0.57,0.16,11,5
0.725,0.55,0.22,9.1,5
0.49,0.54,0.19,9.7,5
0.53,0.6,0.33,9.5,5
0.34,0.59,0.37,9.4,6
0.53,0.57,0.26,9.4,5
0.61,0.6,0.04,9.5,5
0.645,0.6,0.25,10,6
0.635,0.57,0.36,10.4,4
0.43,0.58,0.25,10.5,6
0.59,1.61,0.5,9.5,6
0.82,0.63,0.14,9.8,5
0.43,0.58,0.25,10.5,6
0.52,0.5,0.25,11,5
0.48,0.62,0.04,12.2,7
0.38,0.52,0.06,9.9,6
0.37,0.7,0.2,9.6,6
0.52,0.5,0.25,11,5
1,0.55,0.09,9,6
0.63,0.58,0,9,6
0.63,0.58,0,9,6
0.645,0.58,0,9.2,6
0.63,0.58,0,9,6
1,0.55,0.09,9,6
0.635,1.09,0.37,9.3,5
0.38,0.71,0.56,10.9,6
0.58,0.49,0.1,9.8,6
0.21,0.84,0.44,9.2,7
0.21,0.84,0.44,9.2,7
0.66,0.96,0,9.9,6
0.68,0.52,0.07,9.5,5
0.6,0.45,0.17,9.3,5
0.53,0.48,0.06,9.8,6
0.66,0.96,0,9.9,6
0.32,0.78,0.44,10,6
0.6,0.7,0,9.9,6
0.35,0.53,0.48,10.5,5
0.775,0.59,0.42,9.5,5
0.6,0.7,0,9.9,6
0.57,0.57,0.23,9.3,5
0.34,0.62,0.37,9.2,5
0.695,0.67,0,9.2,5
0.41,1.26,0.76,9.4,5
0.31,0.8,0.47,10.5,7
0.33,0.65,0.23,9.3,5
0.975,0.6,0.04,9.4,4
0.52,0.57,0.03,10,5
0.37,0.67,0.23,9.3,5
0.56,0.87,0.49,10.9,5
0.26,0.72,0.52,10.2,7
0.87,0.72,0,9.8,4
0.35,0.86,0.46,12.8,8
0.54,0.91,0.04,9.4,6
0.18,0.97,0.51,10.1,6
0.545,0.67,0.06,10.7,6
0.18,0.97,0.51,10.1,6
0.37,0.78,0.58,10.1,5
0.715,0.64,0.2,9.4,5
0.65,0.77,0.18,9.4,5
0.545,0.67,0.06,10.7,6
0.54,0.91,0.04,9.4,6
0.18,0.97,0.51,10.1,6
0.32,0.82,0.45,12.6,8
0.4,0.77,0.32,10.5,7
0.26,0.82,0.44,9.3,6
0.27,1.08,0.68,9.9,7
0.52,0.57,0.12,9.1,5
0.4,0.77,0.32,10.5,7
0.59,0.71,0.07,9.8,5
0.59,0.71,0.07,9.8,5
0.45,0.76,0.55,10.3,6
0.4,0.7,0.12,10.3,6
0.52,0.86,0.09,10.6,7
0.42,0.95,0.53,9.2,5
0.52,0.86,0.09,10.6,7
0.2,0.71,0.48,10.5,5
0.55,0.64,0.23,10.3,6
0.36,0.6,0.25,10.1,6
0.34,0.81,0.52,9.5,6
0.5,0.64,0.46,9.5,5
0.83,0.52,0.37,9.9,5
0.63,0.73,0.06,9.6,5
0.65,0.8,0.02,9.7,5
0.67,0.71,0.06,9.6,5
0.53,0.59,0.06,10.7,6
0.18,0.64,0.48,10.1,6
0.705,0.72,0.12,10,5
0.67,0.54,0.12,9.5,5
0.65,0.52,0.6,9.2,5
0.53,0.59,0.48,9.3,6
0.62,0.52,0.32,9.4,5
0.41,0.62,0.42,9.5,6
0.43,0.63,0.44,9.5,6
0.29,0.53,0.38,9.5,6
0.53,0.59,0.48,9.3,6
0.53,0.54,0.24,9.4,6
0.46,0.63,0.31,9.5,6
0.47,0.53,0.3,9.4,5
0.36,0.68,0.29,11,5
0.35,0.65,0.29,11,6
0.56,0.65,0.23,10.1,5
0.77,0.64,0.12,10.4,6
0.66,0.71,0.39,11.5,7
0.77,0.64,0.12,10.4,6
0.66,0.71,0.39,11.5,7
0.61,0.62,0.26,9.7,5
0.62,0.63,0.05,9.3,5
0.59,0.7,0.42,9.5,6
0.49,0.69,0.2,9.2,6
0.49,0.69,0.2,9.2,6
0.53,0.74,0.66,11.5,7
0.44,0.83,0.5,11.5,5
0.27,0.67,0.62,9.7,6
0.46,0.62,0.39,9.5,5
0.36,0.66,0.64,12.5,6
0.36,0.66,0.64,12.5,6
0.58,0.54,0.28,9.4,6
0.56,0.52,0.08,11,5
0.65,0.74,0.01,11.7,7
0.695,0.84,0.53,12.2,7
0.43,0.7,0.45,12.5,6
0.43,0.64,0.32,10.3,5
0.49,1,0.58,11.5,6
0.28,1.36,0.54,9.8,7
0.34,1.18,0.5,9.2,6
0.42,0.87,0.48,11.3,6
0.39,0.75,0.47,9.8,6
0.39,0.75,0.47,9.8,6
0.57,0.78,0.5,10.7,6
0.685,0.81,0,9.9,5
0.815,0.89,0.02,12.3,7
0.49,0.93,0.67,12,6
0.56,0.92,0.31,10,6
0.785,0.86,0,9.4,6
0.67,0.98,0.22,9.9,6
0.795,0.83,0,9.4,6
0.665,0.73,0,9.3,5
0.53,0.77,0.79,13,5
0.21,0.59,0.4,11.9,6
0.75,0.61,0.01,12.8,6
0.41,0.88,0.52,11,5
0.42,0.75,0.66,11.7,7
0.43,0.85,0.66,10.4,7
0.38,0.68,0.66,9.8,6
0.7,0.7,0.23,9.4,5
0.45,0.91,0.31,9.9,6
0.58,0.56,0.66,10,5
0.46,0.87,0.63,10.2,5
0.615,0.73,0.66,10,7
0.42,0.93,0.5,11.8,6
0.615,0.73,0.66,10,7
0.575,0.69,0.61,9,5
0.34,0.64,0.52,9.4,5
0.27,1.13,0.53,12,7
0.765,0.78,0.02,9.9,5
0.24,0.87,0.4,8.7,6
0.28,1.04,0.48,10.6,6
0.55,0.63,0.22,9.2,5
0.41,0.81,0.63,10.8,6
0.54,0.83,0.71,11.8,7
0.45,1.11,0.5,11,6
0.27,1.13,0.53,12,7
0.625,0.99,0.66,13.3,6
0.42,0.7,0.38,10.8,6
0.26,0.8,0.42,9.4,6
0.415,0.8,0.68,10,6
0.26,0.8,0.42,9.4,6
0.26,0.8,0.42,9.4,6
0.51,0.74,0.28,9.2,5
0.63,0.76,0.07,9.7,6
0.54,0.74,0.26,9.2,6
0.66,0.54,0.15,9.6,6
0.46,0.74,0.26,9.2,6
0.38,0.7,0.31,10,7
0.85,0.82,0.05,12.9,8
0.415,0.8,0.68,10,6
0.37,0.51,0.52,9.5,5
0.665,0.54,0.61,9.1,5
0.6,0.57,0.65,9.9,5
0.37,0.6,0.76,13,7
0.735,0.53,0.02,9.9,5
0.59,0.65,0.59,11,6
0.59,0.65,0.59,11,6
0.765,0.55,0.22,9.4,5
0.735,0.53,0.02,9.9,5
0.26,0.47,0.3,10.8,6
0.48,0.61,0.54,10.5,6
0.6,0.63,0.49,10.5,6
0.69,0.61,0.05,9.1,5
0.31,0.76,0.46,10.1,6
0.44,0.65,0.47,10.8,6
0.39,0.63,0.66,10.8,7
0.34,0.7,0.58,11.3,6
0.46,0.57,0.49,9.6,4
0.43,0.62,0.34,9.5,6
0.45,0.62,0.35,9.5,5
0.735,0.64,0.16,9.3,5
0.4,0.82,0.53,11.7,7
0.52,0.61,0.34,9.5,5
0.725,1.07,0.24,9.3,5
0.48,0.66,0.64,11.7,6
0.58,0.48,0.12,10.5,5
0.38,0.76,0.51,10.4,6
0.77,0.68,0,9.9,5
0.56,0.73,0.33,11.8,7
0.84,0.56,0.03,12.3,7
0.96,0.44,0.2,10.9,5
0.24,0.9,0.47,11,7
0.96,0.44,0.2,10.9,5
0.84,0.56,0.03,12.3,7
0.67,0.49,0.08,11.4,6
0.78,0.56,0.22,10.6,6
0.52,0.6,0.33,9.3,5
0.84,0.6,0.63,10.4,6
0.24,0.9,0.47,11,7
0.55,0.56,0.35,9.2,5
0.37,0.65,0.69,12.8,6
0.39,0.49,0.63,9.5,5
0.41,0.89,0.55,9.9,6
0.39,0.49,0.63,9.5,5
0.67,0.56,0.3,10.2,6
0.45,0.66,0.73,11.2,6
0.41,0.89,0.55,9.9,6
0.62,0.6,0.18,9.3,5
0.31,0.82,0.72,9.8,8
0.4,0.68,0.65,11.3,6
0.685,0.68,0.76,11.2,7
0.44,0.63,0.49,11.6,7
0.57,0.84,0.01,12.5,7
0.735,0.56,0.1,10.1,6
0.38,0.73,0.6,10.5,5
0.48,0.72,0.29,11.2,5
0.53,0.56,0.22,10.2,6
0.39,0.61,0.69,10.8,6
0.39,0.61,0.69,10.8,6
0.37,1.06,0.53,9.1,6
0.56,0.63,0.03,10,6
0.33,0.74,0.63,11.2,7
0.23,0.63,0.4,11.1,5
0.62,0.69,0.67,13.4,8
0.59,0.58,0.39,10.3,5
0.63,0.58,0.21,9.6,5
0.33,0.74,0.63,11.2,7
0.58,0.57,0.66,9,3
0.43,0.61,0.52,11.3,6
0.615,0.61,0.22,9.3,5
0.26,0.61,0.68,11.8,5
0.66,0.53,0.7,9,5
0.315,0.7,0.54,9.2,6
0.29,0.91,0.4,9.7,5
0.5,0.72,0.42,11.5,6
0.46,0.79,0.45,14,6
0.36,0.62,0.69,9.2,6
0.82,0.58,0.02,9.8,5
0.32,0.61,0.65,10.6,5
0.54,0.71,0.42,11.4,6
0.37,0.82,0.55,10.4,6
0.35,0.79,0.55,10.6,5
0.28,0.89,0.51,9.4,6
0.68,0.6,0.24,10.2,5
0.27,0.7,0.41,9.7,5
0.24,1.06,0.49,11,6
0.68,0.6,0.24,10.2,5
0.685,0.7,0.11,10.1,6
0.28,0.66,0.39,9.2,5
0.3,0.92,0.56,11.7,8
0.36,1.05,0.59,9.4,5
0.36,1.06,0.6,9.4,5
0.44,0.66,0.68,13.4,6
0.67,0.47,0.39,10,5
0.67,0.47,0.39,10,5
0.645,0.42,0.36,10,6
0.32,0.92,0.55,10.8,7
0.39,0.75,0.4,10.2,6
0.775,0.67,0.27,10.6,6
0.41,0.79,0.5,13.3,7
0.4,0.9,0.51,13.4,7
0.69,0.74,0.31,11.6,6
0.39,0.55,0.23,12.1,6
0.35,0.65,0.53,11,8
0.52,0.65,0.25,9,6
0.34,0.79,0.32,11.1,5
0.35,0.65,0.53,11,8
0.69,0.74,0.31,11.6,6
0.52,0.65,0.25,9,6
0.44,0.85,0.73,12,7
0.44,0.85,0.73,12,7
0.26,1.04,0.47,10.9,7
0.24,1.05,0.42,10.8,7
0.49,0.78,0.63,12.5,7
0.24,1.02,0.46,10.8,7
0.67,0.71,0.55,9.5,6
0.59,0.63,0.31,10.2,6
0.29,0.68,0.75,11.4,7
0.42,0.61,0.49,9.5,5
0.59,0.63,0.31,10.2,6
0.4,0.81,0.48,9.7,6
0.51,0.66,0.64,11.8,7
0.51,0.66,0.64,11.8,7
0.655,1.14,0.49,9.3,5
0.6,0.74,0.49,11.9,6
0.61,0.63,0.49,8.4,3
0.21,0.68,0.49,11.7,6
0.365,0.78,0.49,11,5
0.25,0.9,0.49,10,6
0.41,0.64,0.49,9.1,5
0.39,0.99,0.49,9.8,5
0.4,0.55,0.49,9.4,5
0.43,0.64,0.49,9.5,5
0.64,0.67,0.24,9.9,5
0.365,0.78,0.49,11,5
0.38,0.77,0.49,11.4,6
0.42,0.75,0.49,8.7,6
0.63,0.57,0.24,9.4,5
0.22,0.87,0.24,10.3,6
0.38,0.61,0.49,10.3,5
0.38,0.61,0.49,10.3,5
0.27,0.66,0.24,12.8,6
0.48,0.56,0.24,10,6
0.22,0.87,0.24,10.3,6
0.63,0.57,0.24,9.4,5
0.825,0.77,0.24,10.7,6
0.35,0.66,0.49,12,7
0.5,0.62,0.74,11.2,5
0.59,0.67,0.24,9.6,5
0.46,0.73,0.49,11,6
0.715,0.59,0.24,9.9,5
0.66,0.72,0.24,11,6
0.31,0.79,0.74,8.4,6
0.47,0.59,0.49,9.1,5
0.55,0.78,0.24,9.5,6
0.31,0.86,0.49,10.7,6
0.35,0.75,0.49,10.4,6
0.53,0.61,0.49,9.4,6
0.51,0.56,0.01,9.5,6
0.43,0.73,0.24,10,6
0.46,0.74,0.24,10,6
1.04,0.62,0.24,11.5,5
0.645,0.74,0.49,11.1,5
0.645,0.74,0.49,11.1,5
0.53,0.56,0.49,11.7,6
0.645,0.74,0.49,11.1,5
0.53,0.56,0.49,11.7,6
0.47,0.68,0.49,12.7,6
0.6,0.57,0.49,11.4,5
0.44,0.58,0.49,9.2,5
0.54,0.61,0.49,9.2,5
0.29,0.61,0.49,10.1,6
0.47,0.68,0.49,12.7,6
0.6,0.57,0.49,11.4,5
0.7,0.6,0.24,9,6
0.7,0.6,0.24,9,6
0.5,0.79,0.49,10.7,6
0.36,0.57,0.24,11.7,6
0.35,0.91,0.49,11,6
0.36,0.57,0.24,11.7,6
0.24,0.61,0.49,10.4,5
0.59,0.56,0.49,9.6,4
0.34,0.7,0.49,10,6
0.27,0.8,0.49,10.2,6
0.5,0.52,0.24,10,4
0.44,0.6,0.49,9.5,5
0.47,0.6,0.49,9.8,5
0.31,0.51,0.49,9.8,6
0.5,0.44,0.49,9.6,5
0.5,0.44,0.49,9.6,5
0.49,0.43,0.49,9.2,5
0.28,0.66,0.49,9.9,7
0.33,0.76,0.49,10.7,7
0.51,0.66,0.24,9.6,6
0.31,1.02,0.49,10.6,7
0.73,0.59,0.24,9.3,5
0.42,0.74,0.24,14,8
0.29,0.74,0.49,10.5,7
0.45,0.57,0.49,9.7,5
0.39,0.5,0.49,11.5,6
0.45,0.57,0.49,9.7,5
0.49,0.58,0.58,9,5
0.72,0.53,0.17,9.5,5
0.595,0.57,0.41,9.3,5
0.4,0.6,0.51,9.3,6
0.58,0.63,0.58,10,6
0.585,0.48,0.18,9.8,6
0.59,0.7,0.45,9.3,6
0.915,0.47,0.27,10,4
0.46,0.56,0.52,9,6
0.835,0.52,0,9.3,5
0.46,0.56,0.52,9,6
0.58,0.62,0.13,9.1,6
0.6,0.59,0.13,9.2,6
0.41,0.79,0.48,12.2,7
0.48,0.53,0.41,10.5,6
0.65,0.64,0.37,10.4,6
0.36,0.52,0.19,12.7,6
0.24,0.54,0.54,9.2,5
0.38,0.54,0.55,9.4,5
0.64,0.6,0,10,6
0.39,0.74,0.38,9.8,5
0.755,1.36,0.18,10.2,6
0.6,0.57,0.5,9.7,5
0.6,0.57,0.5,9.7,5
0.31,0.93,0.51,9.8,6
0.46,0.7,0.5,10.2,5
0.37,0.8,0.41,9.3,5
0.54,0.61,0.24,9.4,5
0.56,0.62,0.23,9.4,5
0.58,0.55,0.22,9.5,5
0.51,0.96,0.25,12.1,6
0.69,0.72,0,10.2,5
0.69,0.72,0,10.2,5
0.6,0.49,0.29,9.1,5
0.6,0.49,0.29,9.1,5
0.54,0.6,0.26,9.3,6
0.685,0.61,0.23,9.3,5
0.54,0.6,0.26,9.3,6
0.28,0.63,0.54,9.5,5
0.41,0.57,0.14,10.5,6
0.935,0.64,0.22,11.3,4
0.35,0.58,0.21,9.5,5
0.84,0.55,0,9.7,5
0.88,0.53,0.28,9.4,5
0.885,0.53,0.27,9.4,5
0.915,0.65,0.12,10.2,7
0.29,1.36,0.35,10.3,6
0.54,0.62,0.45,9.4,5
0.59,0.63,0.44,9.5,5
0.54,0.62,0.45,9.4,5
0.59,0.63,0.44,9.5,5
0.54,0.62,0.45,9.4,5
0.64,0.69,0.1,10.1,7
0.67,0.63,0.05,10.1,5
0.845,0.58,0.01,11,4
0.48,0.67,0.3,11.2,7
0.42,0.57,0.27,11.3,6
0.43,0.5,0.39,9.6,5
0.88,0.67,0.25,11.2,5
0.36,0.84,0.65,14.9,5
0.33,0.54,0.59,12,6
0.47,0.46,0.47,9.5,5
0.55,0.61,0.17,9.4,5
0.43,0.5,0.39,9.6,5
0.5,0.68,0.59,10.5,7
0.52,0.81,0.07,9.6,6
0.84,0.57,0.02,11,4
0.52,0.81,0.07,9.6,6
0.42,0.64,0.31,9,5
0.57,0.7,0.06,9.6,6
0.28,0.79,0.46,10.2,6
0.4,0.66,0.52,10.2,5
0.59,0.56,0.14,9.7,5
0.49,0.6,0.36,9.5,6
0.34,0.66,0.45,9.2,6
0.73,0.57,0.43,11,5
0.34,0.66,0.45,9.2,6
0.4,0.58,0.24,10,5
0.73,0.52,0.21,9.5,5
1.24,0.53,0.34,9.5,5
0.73,0.52,0.21,9.5,5
0.4,0.67,0.41,9.3,6
0.41,0.65,0.39,10.2,5
0.4,0.67,0.41,9.3,6
0.8,0.48,0.11,9.9,5
0.78,0.53,0.1,10,5
0.26,0.54,0.45,9.6,5
0.43,0.49,0.58,9,5
0.45,0.49,0.23,10.2,6
0.46,0.54,0.31,9.8,5
0.78,0.56,0.23,11.3,5
0.98,0.48,0.32,9.4,5
0.78,0.56,0.23,11.3,5
0.65,0.6,0.18,9.1,5
0.64,0.59,0.23,9.7,5
0.66,0.47,0.04,9.4,5
0.38,1.05,0.48,9.4,5
1.185,0.54,0,10.7,3
0.92,0.54,0.24,9.8,5
0.49,1.17,0.51,9,5
0.48,0.62,0.32,9.4,5
0.47,0.61,0.31,9.4,5
0.47,0.62,0.02,12.8,6
0.65,0.67,0.02,9.5,6
0.65,0.67,0.02,9.5,6
0.615,0.53,0.28,9.7,5
0.38,0.62,0.55,10.8,6
1.02,0.57,0.43,10.1,6
0.65,0.67,0.02,9.5,6
0.64,0.67,0.02,9.4,6
0.38,0.7,0.48,9.6,4
0.765,0.54,0.04,9.7,4
1.035,0.49,0.15,9.9,5
0.78,0.47,0.08,10,5
0.49,0.51,0.19,10.5,5
0.545,0.61,0.12,11.6,6
0.31,0.66,0.47,10,6
1.025,0.57,0.43,10.1,5
0.565,0.61,0.34,9.5,5
0.69,0.45,0,9.4,5
0.43,0.46,0.36,9.4,5
0.74,0.51,0.28,9.8,5
0.49,0.48,0.18,9.2,6
0.43,0.46,0.36,9.4,5
0.46,0.57,0.11,10,5
0.56,0.44,0.04,9.6,5
0.66,0.54,0,9.5,5
0.56,0.44,0.04,9.6,5
0.48,0.53,0.24,9.2,5
0.42,0.59,0.08,10,5
0.31,1.62,0.3,9.5,5
1.115,0.6,0.1,11.2,4
0.66,0.55,0.17,10.4,5
0.72,0.72,0.09,11.1,6
0.57,0.68,0.02,9.5,5
0.57,0.68,0.02,9.5,5
0.865,0.49,0.03,12.7,6
0.55,0.67,0.66,9.6,5
0.875,0.52,0.13,11.5,5
0.835,0.47,0.03,9.6,5
0.45,0.6,0.34,9.5,5
0.56,0.62,0.2,9.3,5
0.965,0.5,0.1,9.5,5
0.965,0.5,0.1,9.5,5
0.59,0.65,0,9.3,6
0.46,0.56,0.23,9.2,5
0.69,0.6,0,9.3,5
0.76,0.68,0.29,11.5,6
0.53,0.57,0.24,9.5,5
0.615,0.65,0,9.2,5
0.41,0.53,0.58,10,5
0.39,0.51,0.54,9.5,5
0.51,0.73,0.18,9.5,6
0.34,0.47,0.38,9,6
0.33,0.48,0.4,9.4,5
0.5,0.72,0.18,9.6,6
0.51,0.73,0.18,9.5,6
0.65,0.55,0.1,9.5,5
0.65,0.55,0.1,9.5,5
0.54,0.61,0.13,9.4,5
0.65,0.55,0.1,9.5,5
0.48,1.06,0.68,9.1,6
0.91,0.43,0.07,10.7,6
0.98,0.46,0.01,11.2,6
0.87,0.5,0,9.8,5
0.87,0.5,0,9.8,5
0.42,0.52,0.21,9.2,5
0.58,0.57,0.25,9.7,5
0.655,0.42,0.26,9.6,5
0.7,0.53,0,10,6
0.655,0.42,0.26,9.6,5
0.68,0.55,0.11,9.5,6
0.67,0.54,0.1,9.5,6
0.59,0.54,0.18,9.4,5
0.6,0.62,0.32,9.5,5
0.59,0.53,0.02,9.7,6
0.72,0.54,0.01,9.6,5
0.59,0.53,0.02,9.7,6
0.685,0.55,0.26,9.4,5
0.57,0.55,0.27,9.4,5
0.4,0.92,0.29,9.5,6
0.4,0.91,0.3,9.5,6
1,0.46,0,10,5
0.765,0.6,0.18,10.3,6
0.635,0.59,0.17,10.3,6
0.43,0.61,0.3,10.5,5
0.52,0.6,0.03,9.8,5
0.57,0.6,0,9.4,6
0.46,0.65,0.14,9.8,5
0.82,0.53,0.05,10,5
0.46,0.65,0.14,9.8,5
0.59,0.59,0.01,9.8,5
0.35,0.5,0.41,9.5,5
0.35,0.5,0.41,9.5,5
0.56,0.56,0.24,10.1,6
0.56,0.56,0.24,10.1,6
0.63,0.52,0.17,9.3,5
0.37,0.68,0.43,9.7,6
0.64,0.54,0.17,9.6,5
